id,type,dc\.identifier,definition,inScheme,notation,note,prefLabel,topConceptOf,hasTopConcept
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/be,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.be,"Fenestrae. Holten van millimetergrootte in sedimentaire gesteente die geheel of gedeeltelijk opgevuld kunnen zijn door sediment of cement, gevormd door uitdroging of insluiting van lucht.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,BE,"Fenestrae. Holten van millimetergrootte in sedimentaire gesteente die geheel of gedeeltelijk opgevuld kunnen zijn door sediment of cement, gevormd door uitdroging of insluiting van lucht.",birdseyes,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/bk,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bk,"Korrels die bestaan uit de overblijfselen van organismen, vaak microscopische kalkskeletjes.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,BK,"Korrels die bestaan uit de overblijfselen van organismen, vaak microscopische kalkskeletjes.",bioklasten,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/bo,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bo,Kalksteen waarbij de korrels aaneengekit zijn door organismen.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,BO,Kalksteen waarbij de korrels aaneengekit zijn door organismen.,boundstone textuur,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/br,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.br,Klastisch met grove hoekige fragmenten.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,BR,Klastisch met grove hoekige fragmenten.,breccieus,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/bt,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bt,"Het omwoelen van sediment, hoofdzakelijk door gravende organismen.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,BT,"Het omwoelen van sediment, hoofdzakelijk door gravende organismen.",bioturbatie,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ca,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ca,"Een poederig, nodulair tot sterk verhard materiaal dat nabij het oppervlak gevormd is in een ariede tot semi-ariede omgeving, door cementatie door calciet, aangevoerd door grondwater in het sediment en de bodem.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,CA,"Een poederig, nodulair tot sterk verhard materiaal dat nabij het oppervlak gevormd is in een ariede tot semi-ariede omgeving, door cementatie door calciet, aangevoerd door grondwater in het sediment en de bodem.",calcrete / caliche,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/cb,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.cb,Breuken ontstaan door compactie van het sediment bij begraving.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,CB,Breuken ontstaan door compactie van het sediment bij begraving.,compactiebreuken,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/co,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.co,"Nodule, vaak sferisch maar kan ook irregulair van vorm zijn. Vaak bestaande uit carbonaatmateriaal, pyriet, gips of silica.",https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,CO,"Nodule, vaak sferisch maar kan ook irregulair van vorm zijn. Vaak bestaande uit carbonaatmateriaal, pyriet, gips of silica.",concretie,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/cu,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.cu,Gelaagd sediment waarbij de korrelgrootte toeneemt naar boven toe.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,CU,Gelaagd sediment waarbij de korrelgrootte toeneemt naar boven toe.,CU-gegradeerde gelaagdheid,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ep,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ep,Een secundair evaporiet mineraal dat de vorm van het oorspronkelijke mineraal of fossiel heeft behouden.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,EP,Een secundair evaporiet mineraal dat de vorm van het oorspronkelijke mineraal of fossiel heeft behouden.,evaporiet pseudomorfen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/ev,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ev,Een vlak (of lijn in een 2D profiel) waarop erosie heeft plaatsgevonden. Het bovenliggende pakket is ingesneden in het onderliggende pakket. Dit vlak kan recht of onregelmatig ondulerend zijn. Vaak is er een basisgrind aanwezig aan de basis van het bovenliggende pakket.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,EV,Een vlak (of lijn in een 2D profiel) waarop erosie heeft plaatsgevonden. Het bovenliggende pakket is ingesneden in het onderliggende pakket. Dit vlak kan recht of onregelmatig ondulerend zijn. Vaak is er een basisgrind aanwezig aan de basis van het bovenliggende pakket.,erosievlak,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/fb,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fb,Aanwezigheid van fijne banken.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,FB,Aanwezigheid van fijne banken.,fijn gebankt,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
https://data.bodemenondergrond.vlaanderen.be/id/concept/sedimentairestructuurtype/fn,http://www.w3.org/2004/02/skos/core#Concept,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fn,Fossiele die niet volledig gecompacteerd zijn tot platte afdrukken.,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,FN,Fossiele die niet volledig gecompacteerd zijn tot platte afdrukken.,niet-gecompacteerde fossielen,https://data.bodemenondergrond.vlaanderen.be/id/conceptscheme/sedimentairestructuurtype,null
