uri,dc.identifier,notation,prefLabel,altLabel,broadMatch,closeMatch,definition,exactMatch,inScheme,topConceptOf
conceptscheme:sedimentairestructuurtype,be.vlaanderen.bodemenondergrond.data.id.conceptscheme.sedimentairestructuurtype,,Lijst van types sedimentaire structuren,,,,,,,
concept:pl,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.pl,PL,aangespoelde plantenresten / plantenhaksel,,,,Mengsel van plantenresten.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:bk,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bk,BK,bioklasten,,,,"Korrels die bestaan uit de overblijfselen van organismen, vaak microscopische kalkskeletjes.",,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:bt,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bt,BT,bioturbatie,,,,"Het omwoelen van sediment, hoofdzakelijk door gravende organismen.",,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:be,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.be,BE,birdseyes,,,,"Fenestrae. Holten van millimetergrootte in sedimentaire gesteente die geheel of gedeeltelijk opgevuld kunnen zijn door sediment of cement, gevormd door uitdroging of insluiting van lucht.",,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:bo,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.bo,BO,boundstone textuur,,,,Kalksteen waarbij de korrels aaneengekit zijn door organismen.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:br,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.br,BR,breccieus,,,,Klastisch met grove hoekige fragmenten.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:ca,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ca,CA,calcrete / caliche,,,,"Een poederig, nodulair tot sterk verhard materiaal dat nabij het oppervlak gevormd is in een ariede tot semi-ariede omgeving, door cementatie door calciet, aangevoerd door grondwater in het sediment en de bodem.",,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:cb,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.cb,CB,compactiebreuken,,,,Breuken ontstaan door compactie van het sediment bij begraving.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:co,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.co,CO,concretie,,,,"Nodule, vaak sferisch maar kan ook irregulair van vorm zijn. Vaak bestaande uit carbonaatmateriaal, pyriet, gips of silica.",,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:cu,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.cu,CU,CU-gegradeerde gelaagdheid,,,,Gelaagd sediment waarbij de korrelgrootte toeneemt naar boven toe.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:ev,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ev,EV,erosievlak,,,,Een vlak (of lijn in een 2D profiel) waarop erosie heeft plaatsgevonden. Het bovenliggende pakket is ingesneden in het onderliggende pakket. Dit vlak kan recht of onregelmatig ondulerend zijn. Vaak is er een basisgrind aanwezig aan de basis van het bovenliggende pakket.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:ep,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.ep,EP,evaporiet pseudomorfen,,,,Een secundair evaporiet mineraal dat de vorm van het oorspronkelijke mineraal of fossiel heeft behouden.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
concept:fb,be.vlaanderen.bodemenondergrond.data.id.concept.sedimentairestructuurtype.fb,FB,fijn gebankt,,,,Aanwezigheid van fijne banken.,,conceptscheme:sedimentairestructuurtype,conceptscheme:sedimentairestructuurtype
